match_id,date,batting_team,bowling_team,batter,bowler,over,runs_batter,runs_total,valid_ball,wicket_kind,venue,toss_winner,toss_decision,match_won_by,inning
1,2013-04-01,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Deepak Chahar,1,4,4,1,,DY Patil Stadium,Mumbai Indians,bat,Mumbai Indians,1
1,2013-04-01,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Deepak Chahar,1,0,0,1,,DY Patil Stadium,Mumbai Indians,bat,Mumbai Indians,1
1,2013-04-01,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Deepak Chahar,1,1,1,1,,DY Patil Stadium,Mumbai Indians,bat,Mumbai Indians,1
1,2013-04-01,Mumbai Indians,Chennai Super Kings,Quinton de Kock,Deepak Chahar,1,0,0,1,,DY Patil Stadium,Mumbai Indians,bat,Mumbai Indians,1
1,2013-04-01,Mumbai Indians,Chennai Super Kings,Quinton de Kock,Deepak Chahar,1,6,6,1,,DY Patil Stadium,Mumbai Indians,bat,Mumbai Indians,1
2,2014-04-02,Royal Challengers Bangalore,Rajasthan Royals,Faf du Plessis,Yuzvendra Chahal,1,1,1,1,,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1
2,2014-04-02,Royal Challengers Bangalore,Rajasthan Royals,Faf du Plessis,Yuzvendra Chahal,1,0,0,1,,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1
2,2014-04-02,Royal Challengers Bangalore,Rajasthan Royals,Faf du Plessis,Yuzvendra Chahal,1,4,4,1,,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1
3,2015-04-03,Kolkata Knight Riders,Kings XI Punjab,Chris Lynn,Sandeep Sharma,1,2,2,1,,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,1
3,2015-04-03,Kolkata Knight Riders,Kings XI Punjab,Chris Lynn,Sandeep Sharma,1,0,0,1,,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,1
3,2015-04-03,Kolkata Knight Riders,Kings XI Punjab,Chris Lynn,Sandeep Sharma,1,4,4,1,,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,1
4,2016-04-04,Delhi Daredevils,Sunrisers Hyderabad,Jean-Paul Duminy,Bhuvneshwar Kumar,1,1,1,1,,Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils,1
4,2016-04-04,Delhi Daredevils,Sunrisers Hyderabad,Jean-Paul Duminy,Bhuvneshwar Kumar,1,0,0,1,,Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils,1
4,2016-04-04,Delhi Daredevils,Sunrisers Hyderabad,Jean-Paul Duminy,Bhuvneshwar Kumar,1,6,6,1,,Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils,1
